排名,代码,名称,市值亿USD,收盘,涨跌%,RSI6,RSI前值,RSI状态,RSI穿越,短通道,主通道,长通道,通道事件,SPMO持仓%,数据源,复权,截至
SPMO,SPMO,标普500动量ETF-Invesco,,152.92,0.49,69.83,66.88,,,上,上,上,,,eastmoney,hfq,2026-09-25
1,NVDA,英伟达,54348,225.07,0.22,57.83,56.48,,,上,上,上,,8.98226,eastmoney,hfq,2026-09-25
2,AAPL,苹果,49776,341.07,1.49,71.54,59.50,超买,into_ob,上,上,上,新进超买,,eastmoney,hfq,2026-09-25
3,GOOGL,谷歌-A,42061,343.92,0.45,49.09,46.25,,,下,上,上,,4.539319,eastmoney,hfq,2026-09-25
4,GOOG,谷歌-C,41714,341.08,0.61,50.22,46.27,,,内,上,上,短通道:reenter_up,3.600915,eastmoney,hfq,2026-09-25
5,MSFT,微软,38328,516.17,3.41,71.40,50.24,超买,into_ob,上,上,上,新进超买,,eastmoney,hfq,2026-09-25
6,AMZN,亚马逊,26930,249.67000000000002,0.12,41.01,39.98,,,下,上,上,,,eastmoney,hfq,2026-09-25
7,META,Meta Platforms,19149,751.66,-3.31,69.75,88.11,,out_ob,上,上,上,超买回落,,eastmoney,hfq,2026-09-25
8,AVGO,博通,16842,352.81,0.67,46.00,41.60,,,下,下,上,,6.029852,eastmoney,hfq,2026-09-25
9,TSLA,特斯拉,14697,372.11,-0.57,66.50,72.02,,out_ob,上,内,上,超买回落|主通道:reenter_down,,yahoo,hfq,2026-09-24
10,MU,美光科技,12223,1082.28,0.81,71.24,69.62,超买,into_ob,上,上,上,新进超买,10.71664,yahoo,hfq,2026-09-24
11,BRK.B,伯克希尔B,10821,505.47999999999996,-0.39,42.79,47.55,,,下,上,上,短通道:break_down,,yahoo,hfq,2026-09-24
12,LLY,礼来,10549,1183.46,2.68,68.14,48.43,,,上,上,上,短通道:break_up,,yahoo,hfq,2026-09-24
13,AMD,超威半导体,10295,630.63,2.38,83.20,80.55,超买,,上,上,上,,4.306581,yahoo,hfq,2026-09-24
14,JPM,摩根大通,9119,343.06,0.31,25.28,21.09,超卖,,下,上,上,,,yahoo,hfq,2026-09-24
15,WMT,沃尔玛,8567,107.98,-2.66,46.82,73.78,,out_ob,下,下,上,超买回落|短通道:break_down,,yahoo,hfq,2026-09-24
16,V,Visa,6897,367.38,1.79,48.89,25.92,,out_os,内,上,上,超卖回升|短通道:reenter_up,,yahoo,hfq,2026-09-24
17,XOM,埃克森美孚,6603,160.59,0.56,50.32,46.24,,,上,上,上,短通道:break_up,3.271594,yahoo,hfq,2026-09-24
18,JNJ,强生,6536,271.22,0.56,62.58,52.04,,,上,上,上,,4.78324,yahoo,hfq,2026-09-24
19,MA,万事达,4973,567.65,1.10,48.49,34.67,,,下,上,上,,,yahoo,hfq,2026-09-24
20,ABBV,艾伯维公司,4671,264.34,0.02,70.16,69.99,超买,into_ob,上,上,上,新进超买,,yahoo,hfq,2026-09-24
21,PLTR,Palantir,4558,189.67,0.42,82.79,82.07,超买,,上,上,上,,1.620139,yahoo,hfq,2026-09-24
22,CSCO,思科,4207,106.7,0.51,39.80,36.20,,,下,上,上,,1.891365,yahoo,hfq,2026-09-24
23,ORCL,甲骨文,4146,137.1,-3.47,31.37,40.23,,,下,下,下,,,yahoo,hfq,2026-09-24
24,COST,好市多,4090,922.77,-0.91,37.57,49.70,,,下,下,内,长通道:reenter_down,,yahoo,hfq,2026-09-24
25,BAC,美国银行,3965,56.7,0.05,14.12,13.39,超卖,,下,下,上,,,yahoo,hfq,2026-09-24
26,LRCX,泛林集团,3945,315.21,-0.04,63.85,64.03,,,上,上,上,,3.133648,yahoo,hfq,2026-09-24
27,AMAT,应用材料,3849,485,-0.03,69.18,69.35,,,内,上,上,,1.714074,yahoo,hfq,2026-09-24
28,KO,可口可乐,3778,87.81,0.01,50.41,50.27,,,上,上,上,,1.41823,yahoo,hfq,2026-09-24
29,CAT,卡特彼勒,3777,821.5799999999999,-0.83,49.56,56.81,,,下,内,上,短通道:break_down|主通道:reenter_down,2.437115,yahoo,hfq,2026-09-24
30,MRK,默沙东,3671,148.78,-0.07,53.04,53.64,,,上,上,上,,,yahoo,hfq,2026-09-24
31,DELL,戴尔科技,3579,562.8899999999999,-2.51,44.35,51.20,,,内,上,上,短通道:reenter_down,,yahoo,hfq,2026-09-24
32,PG,宝洁,3396,146.23,-1.16,43.53,57.98,,,下,下,下,短通道:break_down|主通道:break_down,,yahoo,hfq,2026-09-24
33,GE,GE航天航空,3394,327.09000000000003,-0.01,47.74,47.81,,,下,下,上,,1.654557,yahoo,hfq,2026-09-24
34,UNH,联合健康,3380,376.59,1.00,40.79,26.95,,out_os,下,内,下,超卖回升|主通道:reenter_up,,yahoo,hfq,2026-09-24
35,MS,摩根士丹利,3083,196.31,-1.04,22.29,25.59,超卖,,下,下,上,主通道:break_down,0.982614,yahoo,hfq,2026-09-24
36,PANW,派拓网络,3065,374.74,-0.86,70.19,75.08,超买,,上,上,上,,,yahoo,hfq,2026-09-24
37,PM,菲利普莫里斯,2969,190.48,0.35,58.29,55.20,,,上,上,上,,1.464772,yahoo,hfq,2026-09-24
38,NFLX,奈飞,2962,71.15,0.50,31.04,27.87,,out_os,下,下,下,超卖回升,,yahoo,hfq,2026-09-24
39,HD,家得宝,2925,293.2,-1.53,26.90,32.17,超卖,into_os,下,下,下,新进超卖,,yahoo,hfq,2026-09-24
40,GS,高盛,2724,935.45,-1.40,24.30,28.52,超卖,,下,下,上,,1.373547,yahoo,hfq,2026-09-24
41,ANET,"Arista Networks, Inc.",2605,206.55,1.10,66.87,62.55,,,上,上,上,,,yahoo,hfq,2026-09-24
42,CRWD,CrowdStrike,2582,252.13,-1.07,74.22,79.58,超买,,上,上,上,,,yahoo,hfq,2026-09-24
43,RTX,雷神技术,2553,189.40000000000003,-1.86,19.65,28.55,超卖,,下,下,上,,1.601547,yahoo,hfq,2026-09-24
44,GEV,GE Vernova,2550,957.63,0.34,61.44,59.81,,,内,上,,,1.332286,yahoo,hfq,2026-09-24
45,TXN,德州仪器,2539,278.07,-0.72,62.48,70.18,,out_ob,上,上,上,超买回落,,yahoo,hfq,2026-09-24
46,WFC,富国银行,2509,82.97000000000001,0.34,22.32,19.09,超卖,,下,下,上,,,yahoo,hfq,2026-09-24
47,TMO,赛默飞世尔,2496,675,1.97,85.25,79.88,超买,,上,上,上,,,yahoo,hfq,2026-09-24
48,KLAC,科磊,2452,187.92,-0.40,66.88,69.34,,,上,上,上,,1.267277,yahoo,hfq,2026-09-24
49,MRVL,迈威尔科技,2354,261.94,-0.75,71.30,75.24,超买,,上,上,上,,,yahoo,hfq,2026-09-24
50,AMGN,安进,2242,414.61,-0.01,62.16,62.24,,,上,上,上,,,yahoo,hfq,2026-09-24
51,LIN,林德,2166,469.89,-0.34,55.74,60.35,,,内,下,上,,,yahoo,hfq,2026-09-24
52,QCOM,高通,2157,201.97,-1.51,63.14,70.17,,out_ob,上,上,上,超买回落,,yahoo,hfq,2026-09-24
53,IBM,IBM,2125,225.51,-2.45,32.52,42.97,,,下,下,内,,,yahoo,hfq,2026-09-24
54,VZ,威瑞森通信,1956,47.08,1.72,35.13,18.34,,out_os,下,上,上,超卖回升,,yahoo,hfq,2026-09-24
55,CRM,赛富时,1926,234.02,0.27,43.01,41.46,,,内,上,上,,,yahoo,hfq,2026-09-24
56,ADI,亚德诺,1907,393.6,-0.68,62.04,67.26,,,上,上,上,,0.748081,yahoo,hfq,2026-09-24
57,GILD,吉利德科学,1871,150.93,-1.11,52.95,64.72,,,上,上,上,,0.955674,yahoo,hfq,2026-09-24
58,DE,迪尔股份,1862,690.46,-2.05,57.27,77.18,,out_ob,上,上,上,超买回落,,yahoo,hfq,2026-09-24
59,DIS,迪士尼,1833,106.15000000000002,2.03,53.68,37.67,,,上,上,上,短通道:break_up|长通道:break_up,,yahoo,hfq,2026-09-24
60,PEP,百事可乐,1756,128.63,-1.56,18.04,24.37,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
61,ABT,雅培,1753,101.29,-2.34,25.58,43.51,超卖,into_os,下,下,下,新进超卖,,yahoo,hfq,2026-09-24
62,T,美国电话电报,1739,25.38,0.59,46.49,41.02,,,内,上,上,,,yahoo,hfq,2026-09-24
63,SCHW,嘉信理财,1713,99.03,-0.01,20.89,20.92,超卖,,下,内,上,,0.694728,yahoo,hfq,2026-09-24
64,ETN,伊顿,1709,439.98,0.28,69.19,68.36,,,上,上,上,,,yahoo,hfq,2026-09-24
65,BLK,贝莱德,1682,1086.31,1.18,49.72,41.55,,,下,上,上,主通道:break_up,,yahoo,hfq,2026-09-24
66,MCD,麦当劳,1674,236.5,-0.55,16.75,17.97,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
67,PFE,辉瑞,1634,28.669999999999998,0.82,76.19,69.61,超买,into_ob,上,上,上,新进超买,,yahoo,hfq,2026-09-24
68,UNP,联合太平洋,1627,273.79,-0.53,31.72,34.63,,,下,上,上,,,yahoo,hfq,2026-09-24
69,DHR,丹纳赫,1578,224.49,1.00,83.05,80.33,超买,,上,上,上,,,yahoo,hfq,2026-09-24
70,COP,康菲石油,1529,127.3,0.98,42.74,37.25,,,内,上,上,短通道:reenter_up,,yahoo,hfq,2026-09-24
71,ISRG,直觉外科公司,1431,405.17999999999995,0.31,74.17,72.91,超买,,上,下,下,,,yahoo,hfq,2026-09-24
72,TJX,TJX公司,1431,130.06,0.03,66.12,65.94,,,内,下,内,,,yahoo,hfq,2026-09-24
73,UBER,优步,1422,69.62,-0.29,23.15,24.38,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
74,NOW,现在服务公司,1402,135.62,-2.13,49.73,60.10,,,上,上,下,,,yahoo,hfq,2026-09-24
75,VRTX,福泰制药,1334,526.19,1.17,57.69,45.60,,,上,上,上,短通道:break_up,,yahoo,hfq,2026-09-24
76,CB,安达保险,1286,333.37,-0.11,28.03,29.30,超卖,,下,上,上,,,yahoo,hfq,2026-09-24
77,BMY,施贵宝,1284,62.86000000000001,0.57,23.18,13.87,超卖,,下,上,上,,,yahoo,hfq,2026-09-24
78,PLD,安博,1264,133.05,-0.10,36.51,37.48,,,下,下,上,,,yahoo,hfq,2026-09-24
79,BKNG,Booking Holdings Inc. Common Stock,1232,163.95,0.97,15.24,8.10,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
80,COF,第一资本信贷,1228,200.2,0.26,22.73,19.86,超卖,,下,下,上,,,yahoo,hfq,2026-09-24
81,LMT,洛克希德马丁,1199,519.56,-0.19,34.98,36.23,,,下,下,上,,0.528548,yahoo,hfq,2026-09-24
82,PGR,前进保险,1193,205.49999999999997,-0.47,13.81,14.76,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
83,SPGI,标普全球,1189,403.3,-0.80,34.37,39.68,,,下,下,下,,,yahoo,hfq,2026-09-24
84,MO,奥驰亚,1149,68.82,-0.10,52.08,53.61,,,上,上,上,,0.508101,yahoo,hfq,2026-09-24
85,VLO,瓦莱罗能源,1115,387.18,1.87,45.49,36.31,,,内,上,上,,,yahoo,hfq,2026-09-24
86,MPC,马拉松石油,1105,393.5199999999999,0.66,40.04,35.99,,,内,上,上,,,yahoo,hfq,2026-09-24
87,SBUX,星巴克,1081,94.86,-0.52,13.57,15.02,超卖,,下,下,上,,,yahoo,hfq,2026-09-24
88,ACN,埃森哲,1078,176.11,-3.33,33.32,44.48,,,下,下,下,短通道:break_down|主通道:break_down,,yahoo,hfq,2026-09-24
89,LOW,劳氏,1062,189.28,-1.50,28.14,34.28,超卖,into_os,下,下,下,新进超卖,,yahoo,hfq,2026-09-24
90,ADP,自动数据处理公司,1045,263.67,-0.22,23.93,24.92,超卖,,下,上,上,,,yahoo,hfq,2026-09-24
91,SYK,史赛克,1045,272.36,-1.34,22.83,27.58,超卖,,下,下,下,,,yahoo,hfq,2026-09-24
92,APP,Applovin,1040,310.75,-0.88,41.14,43.58,,,下,下,下,,,yahoo,hfq,2026-09-24
